	0.0000000000000000e+00	6.3252734479706882e+00	1.3633065284515107e+01	2.1928936755162873e+01	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
	2.4000000000000004e+00	6.4165235121451500e+00	1.4062553749293375e+01	2.2278001712465745e+01	1.5300536857234910e+01	7.5891470779188069e+01	-1.6585353579615514e-01	
	4.8000000000000007e+00	6.4045454230323822e+00	1.6685970655560407e+01	2.2372953592043270e+01	3.0714744433372857e+01	1.6872904595883622e+02	-3.3352491787381117e-01	
	7.1999999999999993e+00	6.2847949161546834e+00	1.8622595883041829e+01	2.2163938152875449e+01	4.5956856741339948e+01	2.6019996797464574e+02	-5.0068916469171609e-01	
	9.6000000000000014e+00	6.1130738280610242e+00	2.0102852156295619e+01	2.1763336514165143e+01	6.0840703374416286e+01	3.5094597458886318e+02	-6.6550695553410577e-01	
	1.2000000000000000e+01	5.9219335495347467e+00	2.1288444666063853e+01	2.1252752339908970e+01	7.5284393435953703e+01	4.4148967934593526e+02	-8.2686594082813092e-01	
	1.4399999999999999e+01	5.7285535572687607e+00	2.2302978000288789e+01	2.0686561789999548e+01	8.9264358786813986e+01	5.3232955921778034e+02	-9.8416044505480227e-01	
	1.6799999999999997e+01	5.5404279323472503e+00	2.3245656805210100e+01	2.0097521661977009e+01	1.0278571490676954e+02	6.2397790076259855e+02	-1.1371079970708780e+00	
	1.9200000000000003e+01	5.3590388784845109e+00	2.4205291169461638e+01	1.9501886534513645e+01	1.1586378688428860e+02	7.1702821546370785e+02	-1.2856071086760958e+00	
	2.1600000000000001e+01	5.2382606096198447e+00	2.2079398819105084e+01	1.9035473927542601e+01	1.2855903028762495e+02	7.8800172717592784e+02	-1.4299650132435338e+00	
	2.4000000000000000e+01	5.2130290479662227e+00	2.0266387913535759e+01	1.8812437850331328e+01	1.4108368053217140e+02	8.5752848723561112e+02	-1.5717481647265106e+00	
	2.6400000000000002e+01	5.2565540598376845e+00	1.8996745346752281e+01	1.8796842661634688e+01	1.5363633419529501e+02	9.2823072977167999e+02	-1.7126701783987890e+00	
	2.8799999999999997e+01	5.3434115531626718e+00	1.8064583129482376e+01	1.8937747557964869e+01	1.6634965075728934e+02	9.9968606041592034e+02	-1.8540918318746598e+00	
	3.1200000000000003e+01	5.4558928430740528e+00	1.7340216845681901e+01	1.9191172497135735e+01	1.7930510696370069e+02	1.0715834741498340e+03	-1.9970173670419986e+00	
	3.3599999999999994e+01	5.5816417464745278e+00	1.6743877776890749e+01	1.9520499587333141e+01	1.9254848242086257e+02	1.1436969548365614e+03	-2.1421488147415713e+00	
	3.6000000000000000e+01	5.7121389326914436e+00	1.6225640833275630e+01	1.9896282304900726e+01	2.0610074065064666e+02	1.2158479655530846e+03	-2.2899406471143871e+00	
	3.8400000000000006e+01	5.8418005728138152e+00	1.5751005067683874e+01	2.0295983410236502e+01	2.1996605384850386e+02	1.2878677366998727e+03	-2.4406525324851742e+00	
	4.0799999999999997e+01	5.9675918395138696e+00	1.5287041447306956e+01	2.0704071687022967e+01	2.3413828085241806e+02	1.3595342602878115e+03	-2.5944011329440939e+00	
	4.3200000000000003e+01	6.0886689568390890e+00	1.4807885591906507e+01	2.1111776390355885e+01	2.4860673659709570e+02	1.4306278567286665e+03	-2.7512125183495466e+00	
	4.5599999999999994e+01	6.2068917199632763e+00	1.4252391205411756e+01	2.1518553918802972e+01	2.6336166495532228e+02	1.5006352791939669e+03	-2.9110755304388434e+00	
	4.8000000000000000e+01	6.3252734479706882e+00	1.3633065284515135e+01	2.1928936755162873e+01	2.7840000000004125e+02	1.5695152791939672e+03	-3.0740000000004573e+00	
