	0.0000000000000000e+00	3.1621446157995024e+01	
	2.4000000000000004e+00	3.8682322991520046e+01	
	4.8000000000000007e+00	3.8112884173254002e+01	
	7.1999999999999993e+00	3.7810836089257222e+01	
	9.6000000000000014e+00	3.7726543648780080e+01	
	1.2000000000000000e+01	3.7849949946602194e+01	
	1.4399999999999999e+01	3.8186808977007658e+01	
	1.6799999999999997e+01	3.8770964458795376e+01	
	1.9200000000000003e+01	2.9572296546758327e+01	
	2.1600000000000001e+01	2.8969483358201565e+01	
	2.4000000000000000e+01	2.9459267723362110e+01	
	2.6400000000000002e+01	2.9773054435100189e+01	
	2.8799999999999997e+01	2.9957255722464080e+01	
	3.1200000000000003e+01	3.0047283619469916e+01	
	3.3599999999999994e+01	3.0062921131884401e+01	
	3.6000000000000000e+01	3.0008237977828415e+01	
	3.8400000000000006e+01	2.9861051494974397e+01	
	4.0799999999999997e+01	2.9622331850356172e+01	
	4.3200000000000003e+01	2.9169759360541686e+01	
	4.5599999999999994e+01	2.8699999999999999e+01	
	4.8000000000000000e+01	2.8699999999999999e+01	
